Marka,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
5,0,32.0,12.0,5.0,3.0,3450.0,2099.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
21,0,32.0,5.0,13.0,2.0,5000.0,2173.0
17,0,128.0,32.0,48.0,6.0,4000.0,3469.0
16,0,64.0,8.0,13.0,4.0,4680.0,1830.0
14,0,128.0,16.0,64.0,4.0,4300.0,2849.0
17,0,32.0,8.0,13.0,3.0,4000.0,2714.0
21,0,64.0,20.0,64.0,6.0,4500.0,3250.0
16,0,16.0,5.0,8.0,3.0,4080.0,14.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
13,0,128.0,16.0,48.0,8.0,4000.0,3215.0
21,0,32.0,8.0,12.0,3.0,5000.0,2199.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
8,0,32.0,8.0,13.0,3.0,4000.0,1799.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
1,1,256.0,12.0,12.0,4.0,3969.0,15899.0
5,0,16.0,5.0,13.0,2.0,4000.0,1798.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
1,1,64.0,7.0,12.0,3.0,2942.0,6557.0
21,0,32.0,8.0,12.0,2.0,5000.0,2095.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
1,1,128.0,7.0,12.0,3.0,1821.0,5690.0
8,0,32.0,8.0,13.0,3.0,3020.0,2015.0
8,0,128.0,16.0,48.0,6.0,4000.0,2989.0
8,0,64.0,8.0,48.0,4.0,4000.0,29.0
13,0,128.0,32.0,48.0,4.0,4035.0,3540.0
13,0,64.0,8.0,12.0,4.0,4230.0,2560.0
1,1,64.0,12.0,12.0,4.0,3969.0,12949.0
17,0,16.0,13.0,13.0,3.0,3600.0,2099.0
10,0,16.0,13.0,13.0,2.0,2800.0,1089.0
17,0,128.0,32.0,32.0,6.0,4500.0,3739.0
16,0,64.0,8.0,13.0,4.0,4680.0,1849.0
13,0,128.0,16.0,48.0,4.0,5000.0,2999.0
8,0,32.0,8.0,13.0,2.0,3020.0,2230.0
13,0,32.0,5.0,13.0,3.0,4230.0,2249.0
17,0,128.0,32.0,48.0,8.0,4500.0,6049.0
17,0,256.0,10.0,64.0,8.0,4300.0,8959.0
21,0,32.0,8.0,12.0,3.0,5000.0,2269.0
17,0,64.0,20.0,48.0,4.0,6000.0,2549.0
17,0,128.0,20.0,48.0,4.0,5000.0,2949.0
17,0,128.0,32.0,48.0,6.0,4000.0,3469.0
8,0,128.0,24.0,48.0,4.0,3340.0,2866.0
14,0,64.0,5.0,13.0,3.0,4000.0,2158.0
20,0,128.0,8.0,16.0,4.0,3500.0,4199.0
17,0,16.0,5.0,5.0,1.0,2600.0,1979.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
