Marka,Model,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 7, iOS,32.0,7.0,12.0,2.0,1960.0,4125.0
 Samsung, Galaxy S20+, Android,128.0,10.0,12.0,12.0,4500.0,7999.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6499.0
 Samsung, Galaxy Note 10 Plus, Android,256.0,10.0,12.0,12.0,4300.0,7999.0
 Samsung, S20 FE, Android,128.0,32.0,12.0,6.0,4500.0,6499.0
 Honor, 8S, Android,64.0,5.0,13.0,3.0,3020.0,1820.0
 Oppo Realme, C2, Android,64.0,5.0,13.0,3.0,4000.0,2199.0
 Apple, iPhone 11, iOS,256.0,12.0,12.0,4.0,3110.0,8979.0
 Samsung, A71, Android,128.0,32.0,64.0,8.0,4500.0,4039.0
 LG, K61, Android,128.0,16.0,48.0,4.0,4000.0,2989.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Samsung, Galaxy A51, Android,128.0,32.0,48.0,6.0,4000.0,3599.0
 Oppo, Reno 4 Pro, Android,256.0,32.0,48.0,8.0,4000.0,6549.0
 Oppo, Reno 4 Lite, Android,128.0,16.0,48.0,8.0,4015.0,3367.0
 Apple, iPhone 11 Pro, iOS,64.0,12.0,12.0,4.0,3190.0,113819.0
 Samsung, Galaxy j7 Prime, Android,32.0,8.0,13.0,3.0,3300.0,2199.0
 General Mobile, GM 10, Android,64.0,8.0,13.0,3.0,4000.0,2.0
 Xiaomi, Redmi Note 9, Android,64.0,13.0,48.0,3.0,5020.0,2799.0
 Xiaomi, Redmi Note 8 Pro, Android,64.0,20.0,64.0,6.0,4500.0,3319.0
 Samsung, Galaxy M21 Duos, Android,64.0,20.0,48.0,4.0,6000.0,2549.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3919.0
 Samsung, Galaxy S20 Ultra, Android,128.0,40.0,108.0,12.0,5000.0,12199.0
 Xiaomi, Redmi Note 8, Android,64.0,13.0,48.0,4.0,4000.0,2834.0
 Samsung, Galaxy S10 Lite, Android,128.0,32.0,48.0,8.0,4500.0,5999.0
 Huawei, Y6 2019, Android,32.0,8.0,13.0,2.0,3020.0,1850.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3.0
 Xiaomi, Mi Note 10 Lite, Android,64.0,16.0,64.0,6.0,5260.0,3849.0
 Xiaomi, Redmi Note 9, Android,128.0,13.0,48.0,4.0,5020.0,2949.0
 Samsung, Galaxy A21S, Android,64.0,13.0,48.0,4.0,5000.0,2689.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2279.0
 Oppo, A72, Android,128.0,16.0,48.0,4.0,4880.0,3028.0
 Oppo, Realme C3i Duos, Android,32.0,,12.0,2.0,5000.0,2499.0
 Casper, VIA.X20, Android 10 (Q),128.0,25.0,48.0,6.0,4510.0,3381.0
 Oppo, A5s, Android,32.0,8.0,13.0,3.0,4230.0,2199.0
 Tcl, 10 PLUS, Android,64.0,16.0,48.0,6.0,4500.0,35.0
 Oppo, A31, Android,64.0,8.0,12.0,4.0,4230.0,2539.0
 Apple, iPhone 11, iOS,128.0,12.0,12.0,4.0,3046.0,8099.0
 Oppo, Reno 4, Android,128.0,32.0,48.0,8.0,4015.0,46.0
 Samsung, Galaxy A11, Android,32.0,8.0,13.0,2.0,4000.0,2251.0
 Huawei, P Smart S, Android,128.0,16.0,48.0,4.0,4000.0,3290.0
 Xiaomi, Redmi Note 9S, Android,64.0,16.0,48.0,4.0,5020.0,3069.0
 General Mobile, GM 9 Plus, Android,32.0,12.0,5.0,3.0,3450.0,2099.0
 Apple, iPhone 8 Plus, iOS,128.0,7.0,12.0,3.0,2691.0,6279.0
 Xiaomi, Redmi 9A, Android,32.0,5.0,13.0,2.0,5000.0,2173.0
